YEAR,MO,DY,HR,WS10M,WS50M
2015,1,7,14,5.63,9.11
2015,1,7,15,5.29,8.56
2015,1,7,16,5.28,8.64
2015,1,7,17,5.4,8.72
2015,1,7,18,5.26,8.48
2015,1,7,19,5.16,8.33
2015,1,7,20,5.2,8.37
2015,1,7,21,5.15,8.23
2015,1,7,22,4.98,7.91
2015,1,7,23,4.8,7.64
2015,1,8,0,4.66,7.44
2015,1,8,1,4.41,7.05
2015,1,8,2,4.19,6.7
2015,1,8,3,3.98,6.4
2015,1,8,4,3.76,6.08
2015,1,8,5,3.49,5.69
2015,1,8,6,3.01,5.05
2015,1,8,7,2.68,4.28
2015,1,8,8,2.84,4.54
2015,1,8,9,3.12,4.8
2015,1,8,10,3.45,5.38
2015,1,8,11,3.65,5.71
2015,1,8,12,3.75,5.99
2015,1,8,13,3.63,5.87
2015,1,8,14,3.43,5.64
2015,1,8,15,3.1,5.41
2015,1,8,16,2.85,5.9
2015,1,8,17,2.82,5.96
2015,1,8,18,2.72,5.79
2015,1,8,19,2.76,5.73
2015,1,8,20,2.97,5.88
2015,1,8,21,3.25,6.04
2015,1,8,22,3.34,6.1
2015,1,8,23,3.23,5.85
2015,1,9,0,3.07,5.55
2015,1,9,1,3.26,5.75
2015,1,9,2,3.61,6.49
2015,1,9,3,3.93,7.06
2015,1,9,4,4.14,7.39
2015,1,9,5,4.19,7.36
2015,1,9,6,4.07,7.13
2015,1,9,7,3.94,7.04
2015,1,9,8,4.23,7.45
2015,1,9,9,4.24,7.39
2015,1,9,10,4.77,8.4
2015,1,9,11,5.18,9.17
2015,1,9,12,5.07,8.97
2015,1,9,13,4.86,8.63
2015,1,9,14,4.8,8.63
2015,1,9,15,4.87,8.75
2015,1,9,16,4.63,8.33
2015,1,9,17,4.03,7.35
2015,1,9,18,3.67,6.87
2015,1,9,19,3.48,6.61
2015,1,9,20,3.43,6.58
2015,1,9,21,3.59,6.79
2015,1,9,22,3.6,6.71
2015,1,9,23,3.62,6.68
2015,1,10,0,3.51,6.49
2015,1,10,1,3.44,6.41
2015,1,10,2,3.44,6.37
2015,1,10,3,3.45,6.36
2015,1,10,4,3.48,6.31
2015,1,10,5,3.51,6.34
2015,1,10,6,3.52,6.3
2015,1,10,7,3.58,6.38
2015,1,10,8,4,6.83
2015,1,10,9,4.57,7.59
2015,1,10,10,4.57,7.52
2015,1,10,11,4.53,7.44
2015,1,10,12,4.4,7.25
2015,1,10,13,4.22,6.97
2015,1,10,14,4.1,6.84
2015,1,10,15,3.84,6.55
2015,1,10,16,3.38,6.25
2015,1,10,17,3.2,6.16
2015,1,10,18,3.01,5.92
2015,1,10,19,2.82,5.66
2015,1,10,20,2.56,4.97
2015,1,10,21,2.5,4.76
2015,1,10,22,2.51,4.73
2015,1,10,23,2.41,4.56
2015,1,11,0,2.46,4.67
2015,1,11,1,2.62,4.79
2015,1,11,2,2.58,4.81
2015,1,11,3,2.55,4.73
2015,1,11,4,2.5,4.65
2015,1,11,5,2.46,4.48
2015,1,11,6,2.41,4.31
2015,1,11,7,2.22,3.74
2015,1,11,8,1.97,3.04
2015,1,11,9,2.17,3.49
2015,1,11,10,2.62,4.25
2015,1,11,11,2.82,4.63
2015,1,11,12,2.96,4.95
2015,1,11,13,3.11,5.29
2015,1,11,14,3,5.2
2015,1,11,15,2.46,4.91
2015,1,11,16,1.88,5.09
2015,1,11,17,1.85,4.98
2015,1,11,18,1.88,5
2015,1,11,19,2.1,4.72
2015,1,11,20,2.08,4.41
2015,1,11,21,1.93,4.31
2015,1,11,22,1.8,4.37
2015,1,11,23,1.68,4.53
2015,1,12,0,1.7,5.02
2015,1,12,1,1.81,4.94
2015,1,12,2,1.57,4.48
2015,1,12,3,1.41,4.22
2015,1,12,4,1.39,4.12
2015,1,12,5,1.44,4.04
2015,1,12,6,1.44,3.81
2015,1,12,7,1.44,3.67
2015,1,12,8,1.69,3.05
2015,1,12,9,1.56,2.51
2015,1,12,10,1.55,2.5
2015,1,12,11,1.52,2.41
2015,1,12,12,1.47,2.39
2015,1,12,13,1.4,2.37
2015,1,12,14,1.27,2.2
2015,1,12,15,0.92,2.5
2015,1,12,16,1.21,3.6
2015,1,12,17,1.53,4.41
2015,1,12,18,1.74,4.85
2015,1,12,19,2.16,5.31
2015,1,12,20,3.15,6.2
2015,1,12,21,4.29,7.42
2015,1,12,22,4.54,7.67
2015,1,12,23,4.83,8.09
2015,1,13,0,4.83,7.99
2015,1,13,1,4.57,7.56
2015,1,13,2,4.26,7.2
2015,1,13,3,4.18,7.06
2015,1,13,4,4.21,7
2015,1,13,5,4.19,6.92
2015,1,13,6,4,6.67
2015,1,13,7,3.54,6.07
2015,1,13,8,3.56,5.7
2015,1,13,9,3.69,5.6
2015,1,13,10,3.67,5.47
2015,1,13,11,3.53,5.23
2015,1,13,12,3.4,5.03
2015,1,13,13,3.13,4.65
2015,1,13,14,2.74,4.22
2015,1,13,15,2.23,3.87
2015,1,13,16,1.88,3.33
2015,1,13,17,1.7,3.15
2015,1,13,18,1.55,2.83
2015,1,13,19,1.38,2.43
2015,1,13,20,1.29,2.19
2015,1,13,21,1.27,2.13
2015,1,13,22,1.27,2.19
2015,1,13,23,1.2,2.1
2015,1,14,0,1.12,1.91
2015,1,14,1,0.97,1.65
2015,1,14,2,0.88,1.3
2015,1,14,3,0.71,0.98
2015,1,14,4,0.64,0.87
2015,1,14,5,0.86,1.2
2015,1,14,6,1.09,1.59
2015,1,14,7,1.16,1.79
2015,1,14,8,1.08,1.39
2015,1,14,9,0.95,1.22
2015,1,14,10,1.66,2.72
2015,1,14,11,2.33,3.69
2015,1,14,12,2.27,3.59
2015,1,14,13,2.02,3.24
2015,1,14,14,1.85,3.09
2015,1,14,15,1.17,2.3
2015,1,14,16,1.45,2.19
2015,1,14,17,1.78,2.72
2015,1,14,18,1.86,2.94
2015,1,14,19,1.64,2.41
2015,1,14,20,1.08,1.44
2015,1,14,21,0.3,0.38
2015,1,14,22,0.7,1.11
2015,1,14,23,1.08,1.68
2015,1,15,0,1.12,1.58
2015,1,15,1,1.03,1.41
2015,1,15,2,1.18,1.61
2015,1,15,3,1.42,1.97
2015,1,15,4,1.49,2.08
2015,1,15,5,1.47,2.06
2015,1,15,6,1.4,1.95
2015,1,15,7,1.3,1.77
2015,1,15,8,1.24,1.72
2015,1,15,9,1.41,1.93
2015,1,15,10,1.36,1.87
2015,1,15,11,1.38,1.93
2015,1,15,12,1.42,2.05
2015,1,15,13,1.48,2.2
2015,1,15,14,1.49,2.39
2015,1,15,15,1.37,2.74
2015,1,15,16,1.8,3.76
2015,1,15,17,2.13,4.61
2015,1,15,18,2.18,4.71
2015,1,15,19,2.22,4.84
2015,1,15,20,2.52,4.9
2015,1,15,21,2.38,4.37
2015,1,15,22,2.16,4.64
2015,1,15,23,2.48,5.23
2015,1,16,0,2.61,5.48
2015,1,16,1,2.7,5.81
2015,1,16,2,2.9,6.17
2015,1,16,3,2.85,6.11
2015,1,16,4,3.23,7.2
2015,1,16,5,4.19,8.03
2015,1,16,6,4.31,7.76
2015,1,16,7,4.12,7.37
2015,1,16,8,4.12,7
2015,1,16,9,4.22,6.99
2015,1,16,10,5.23,9.1
2015,1,16,11,6.06,10.11
