YEAR,MO,DY,HR,WS10M,WS50M
2021,1,7,12,6.1,7.1
2021,1,7,13,5.65,6.62
2021,1,7,14,4.99,5.9
2021,1,7,15,3.81,4.88
2021,1,7,16,2.33,3.8
2021,1,7,17,2.3,3.37
2021,1,7,18,2.19,3.17
2021,1,7,19,2.15,3.12
2021,1,7,20,2.22,3.26
2021,1,7,21,2.56,3.87
2021,1,7,22,2.94,4.56
2021,1,7,23,3.13,4.87
2021,1,8,0,3.27,5.17
2021,1,8,1,3.48,5.61
2021,1,8,2,3.58,5.86
2021,1,8,3,3.59,5.87
2021,1,8,4,3.64,5.99
2021,1,8,5,3.76,6.33
2021,1,8,6,3.75,6.74
2021,1,8,7,4.69,6.46
2021,1,8,8,5.44,6.28
2021,1,8,9,4.94,5.46
2021,1,8,10,4.4,4.71
2021,1,8,11,4.1,4.28
2021,1,8,12,4.13,4.25
2021,1,8,13,4.4,4.53
2021,1,8,14,4.84,5.08
2021,1,8,15,5.25,5.79
2021,1,8,16,4.97,6.85
2021,1,8,17,4.9,7.59
2021,1,8,18,4.68,7.36
2021,1,8,19,3.92,7.04
2021,1,8,20,3.39,6.69
2021,1,8,21,3.23,6.38
2021,1,8,22,3.21,6.22
2021,1,8,23,3.2,5.99
2021,1,9,0,3.18,5.68
2021,1,9,1,3.13,5.42
2021,1,9,2,3.16,5.38
2021,1,9,3,3.26,5.6
2021,1,9,4,3.36,5.81
2021,1,9,5,3.44,6.03
2021,1,9,6,3.39,6.21
2021,1,9,7,4.62,6.09
2021,1,9,8,5.19,5.94
2021,1,9,9,5.09,5.69
2021,1,9,10,5.1,5.63
2021,1,9,11,5.22,5.78
2021,1,9,12,5.39,6.02
2021,1,9,13,5.6,6.32
2021,1,9,14,5.86,6.8
2021,1,9,15,6.08,7.33
2021,1,9,16,5.59,7.35
2021,1,9,17,4.97,7.19
2021,1,9,18,4.3,6.53
2021,1,9,19,4.25,6.79
2021,1,9,20,4.2,6.78
2021,1,9,21,3.14,5.79
2021,1,9,22,2.75,5.61
2021,1,9,23,3.92,7.17
2021,1,10,0,5.31,7.96
2021,1,10,1,5.73,8.18
2021,1,10,2,5.54,8.08
2021,1,10,3,5.23,7.93
2021,1,10,4,5.1,7.79
2021,1,10,5,4.69,7.49
2021,1,10,6,4.77,7.46
2021,1,10,7,5.26,7.23
2021,1,10,8,5.96,7.71
2021,1,10,9,7.06,8.95
2021,1,10,10,7.79,9.67
2021,1,10,11,8.49,10.26
2021,1,10,12,10.62,12.38
2021,1,10,13,12.48,14.5
2021,1,10,14,12.71,15.1
2021,1,10,15,12.32,14.86
2021,1,10,16,11.91,14.54
2021,1,10,17,11.45,14.15
2021,1,10,18,11.34,14.07
2021,1,10,19,11.08,13.84
2021,1,10,20,10.51,13.17
2021,1,10,21,9.84,12.41
2021,1,10,22,9.2,11.6
2021,1,10,23,8.7,10.97
2021,1,11,0,8.45,10.59
2021,1,11,1,8.52,10.71
2021,1,11,2,8.58,10.84
2021,1,11,3,8.46,10.72
2021,1,11,4,7.87,10.05
2021,1,11,5,7.54,9.72
2021,1,11,6,7.44,9.35
2021,1,11,7,8.59,10.59
2021,1,11,8,9.23,10.94
2021,1,11,9,8.81,10.22
2021,1,11,10,8.18,9.37
2021,1,11,11,7.59,8.64
2021,1,11,12,7.05,8.01
2021,1,11,13,6.58,7.49
2021,1,11,14,6.18,7.1
2021,1,11,15,5.67,6.69
2021,1,11,16,4.09,6.25
2021,1,11,17,3.14,6.2
2021,1,11,18,3.12,6.12
2021,1,11,19,3.13,6.11
2021,1,11,20,3.23,6.32
2021,1,11,21,3.32,6.49
2021,1,11,22,3.33,6.5
2021,1,11,23,3.34,6.49
2021,1,12,0,3.46,6.64
2021,1,12,1,3.85,7.03
2021,1,12,2,4.34,7.31
2021,1,12,3,4.55,7.31
2021,1,12,4,4.44,7.18
2021,1,12,5,4.52,7.13
2021,1,12,6,4.94,6.94
2021,1,12,7,5.45,6.16
2021,1,12,8,5.74,6.38
2021,1,12,9,5.3,5.64
2021,1,12,10,4.98,5.22
2021,1,12,11,4.94,5.2
2021,1,12,12,5.19,5.53
2021,1,12,13,5.23,5.65
2021,1,12,14,5.4,5.94
2021,1,12,15,4.97,5.64
2021,1,12,16,3.66,5.62
2021,1,12,17,3.1,6.06
2021,1,12,18,3.2,6.23
2021,1,12,19,3.11,6.04
2021,1,12,20,2.94,5.67
2021,1,12,21,2.83,5.4
2021,1,12,22,2.86,5.46
2021,1,12,23,3.01,5.81
2021,1,13,0,3.25,6.22
2021,1,13,1,3.36,6.36
2021,1,13,2,3.35,6.32
2021,1,13,3,3.32,6.25
2021,1,13,4,3.21,6.08
2021,1,13,5,3.07,5.86
2021,1,13,6,3.49,5.67
2021,1,13,7,4.16,4.62
2021,1,13,8,3.77,4.23
2021,1,13,9,3.43,3.76
2021,1,13,10,2.83,3.08
2021,1,13,11,2.52,2.78
2021,1,13,12,2.59,2.98
2021,1,13,13,2.62,3.04
2021,1,13,14,2.23,2.59
2021,1,13,15,1.59,1.81
2021,1,13,16,1.24,1.77
2021,1,13,17,2.05,3.02
2021,1,13,18,2.69,4.22
2021,1,13,19,3.17,5.21
2021,1,13,20,3.35,5.64
2021,1,13,21,3.49,6.03
2021,1,13,22,3.68,6.66
2021,1,13,23,3.75,7.05
2021,1,14,0,3.71,7.01
2021,1,14,1,3.58,6.7
2021,1,14,2,3.46,6.55
2021,1,14,3,3.5,6.71
2021,1,14,4,3.69,7.24
2021,1,14,5,3.93,7.77
2021,1,14,6,4.26,8.2
2021,1,14,7,5.83,7.23
2021,1,14,8,6.33,7.86
2021,1,14,9,8.63,10.73
2021,1,14,10,8.31,10.1
2021,1,14,11,6.89,8.33
2021,1,14,12,5.48,6.63
2021,1,14,13,4.49,5.48
2021,1,14,14,4.07,5.07
2021,1,14,15,2.63,4.34
2021,1,14,16,2.35,3.7
2021,1,14,17,2.18,3.24
2021,1,14,18,2.06,3.07
2021,1,14,19,2.59,4.03
2021,1,14,20,3.83,6.64
2021,1,14,21,4.98,9.32
2021,1,14,22,6.06,9.93
2021,1,14,23,5.87,9.69
2021,1,15,0,5.68,9.48
2021,1,15,1,5.32,9.15
2021,1,15,2,4.78,8.74
2021,1,15,3,4.15,8.03
2021,1,15,4,3.67,7.24
2021,1,15,5,3.9,7.52
2021,1,15,6,5.64,8.12
2021,1,15,7,6.25,7.06
2021,1,15,8,6.32,7.28
2021,1,15,9,6.71,7.7
2021,1,15,10,6.67,7.64
2021,1,15,11,6.81,7.82
2021,1,15,12,6.9,7.92
2021,1,15,13,6.57,7.57
2021,1,15,14,6.15,7.16
2021,1,15,15,5.46,6.62
2021,1,15,16,3.31,5.98
2021,1,15,17,3.17,5.47
2021,1,15,18,2.93,4.79
2021,1,15,19,2.47,3.77
2021,1,15,20,1.45,2.03
2021,1,15,21,0.49,0.61
2021,1,15,22,1.54,2.08
2021,1,15,23,2.41,3.55
2021,1,16,0,2.9,4.59
2021,1,16,1,3.17,5.31
2021,1,16,2,3.29,5.73
2021,1,16,3,3.31,5.83
2021,1,16,4,3.25,5.63
2021,1,16,5,3.12,5.2
2021,1,16,6,2.75,4.64
2021,1,16,7,2.98,3.49
2021,1,16,8,1.91,2
2021,1,16,9,0.89,0.93
2021,1,16,10,0.57,0.72
2021,1,16,11,0.57,0.76
2021,1,16,12,0.73,0.82
2021,1,16,13,1.39,1.38
2021,1,16,14,2.36,2.43
2021,1,16,15,3.45,3.98
2021,1,16,16,3.36,6.6
2021,1,16,17,4.16,8.32
2021,1,16,18,4.4,8.59
2021,1,16,19,4.28,8.45
2021,1,16,20,4.1,8.21
2021,1,16,21,3.92,7.8
2021,1,16,22,3.71,7.08
2021,1,16,23,3.53,6.3
2021,1,17,0,3.37,5.73
2021,1,17,1,3.23,5.34
2021,1,17,2,3.22,5.33
2021,1,17,3,3.16,5.28
2021,1,17,4,2.99,4.89
2021,1,17,5,2.8,4.45
2021,1,17,6,2.67,4.35
2021,1,17,7,3.03,4.24
2021,1,17,8,3.17,3.67
2021,1,17,9,2.65,3
2021,1,17,10,1.82,2.01
2021,1,17,11,1.07,1.06
2021,1,17,12,1.24,1.07
2021,1,17,13,2.18,2.09
2021,1,17,14,3.41,3.72
2021,1,17,15,4.61,5.41
2021,1,17,16,5.11,6.67
2021,1,17,17,4.76,7.08
2021,1,17,18,4.03,6.62
2021,1,17,19,3.18,6.28
2021,1,17,20,2.93,5.94
2021,1,17,21,2.87,5.59
2021,1,17,22,2.91,5.43
2021,1,17,23,2.9,5.39
2021,1,18,0,2.92,5.48
2021,1,18,1,3.04,5.68
2021,1,18,2,3.13,5.83
2021,1,18,3,3.15,5.77
2021,1,18,4,3.1,5.53
2021,1,18,5,3.09,5.44
2021,1,18,6,2.95,5.53
2021,1,18,7,4.29,5.44
2021,1,18,8,5.94,7.36
2021,1,18,9,7.22,8.74
2021,1,18,10,7.85,9.43
2021,1,18,11,8.51,10.18
2021,1,18,12,9.23,11.06
2021,1,18,13,9.84,11.88
2021,1,18,14,10.22,12.51
2021,1,18,15,10.4,12.98
2021,1,18,16,9.37,12.12
2021,1,18,17,8.76,12.04
2021,1,18,18,8.73,11.91
2021,1,18,19,8.37,11.55
2021,1,18,20,8.03,11.39
2021,1,18,21,7.47,10.97
2021,1,18,22,7.06,10.67
2021,1,18,23,6.88,10.56
2021,1,19,0,6.9,10.62
2021,1,19,1,7.04,10.74
2021,1,19,2,7.28,10.92
2021,1,19,3,7.57,10.98
2021,1,19,4,7.37,10.75
2021,1,19,5,6.93,10.33
2021,1,19,6,6.39,9.46
2021,1,19,7,7.26,9.54
2021,1,19,8,9.24,11.86
2021,1,19,9,9.64,11.96
2021,1,19,10,9.39,11.46
2021,1,19,11,9.14,11.05
2021,1,19,12,8.86,10.62
2021,1,19,13,8.39,10.01
2021,1,19,14,7.85,9.47
2021,1,19,15,7.45,9.19
2021,1,19,16,6.32,8.37
2021,1,19,17,5.67,8.06
2021,1,19,18,5.66,7.91
